key,reason,record_type,source
ETH/USDT/306044312,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/306288059,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/306357680,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/306946246,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/306949373,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/306964069,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307002851,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307063922,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307063923,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307077620,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307082615,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307085433,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380304,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380305,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380306,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380307,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380308,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307380309,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/307492625,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
